ninja: Entering directory `G:\mobile_league_game\proj.android\app\.cxx\cmake\debug\armeabi-v7a'
[71/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/Mat4.cpp.o
[72/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DConstraint.cpp.o
[73/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysicsSprite3D.cpp.o
[74/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/MathUtil.cpp.o
[75/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/Quaternion.cpp.o
[76/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DShape.cpp.o
[77/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/Vec2.cpp.o
[78/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DObject.cpp.o
[79/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/TransformUtils.cpp.o
[80/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DDebugDrawer.cpp.o
[81/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DWorld.cpp.o
[82/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/Vec4.cpp.o
[83/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/Vec3.cpp.o
[84/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/navmesh/CCNavMeshUtils.cpp.o
[85/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/navmesh/CCNavMeshAgent.cpp.o
[86/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCCallbackCommand.cpp.o
[87/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics/CCPhysicsJoint.cpp.o
[88/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/navmesh/CCNavMeshObstacle.cpp.o
[89/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCGroupCommand.cpp.o
[90/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCRenderCommand.cpp.o
[91/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCCustomCommand.cpp.o
[92/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/navmesh/CCNavMesh.cpp.o
[93/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/navmesh/CCNavMeshDebugDraw.cpp.o
[94/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/ccShaders.cpp.o
[95/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCQuadCommand.cpp.o
[96/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCMeshCommand.cpp.o
[97/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTextureUtils.cpp.o
[98/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/Device.cpp.o
[99/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/ShaderModule.cpp.o
[100/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCPass.cpp.o
[101/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/DepthStencilState.cpp.o
[102/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/Texture.cpp.o
[103/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTextureCube.cpp.o
[104/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/CommandBuffer.cpp.o
[105/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCRenderState.cpp.o
[106/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTrianglesCommand.cpp.o
[107/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/Types.cpp.o
[108/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTechnique.cpp.o
[109/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCMaterial.cpp.o
[110/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTextureCache.cpp.o
[111/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTexture2D.cpp.o
[112/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/ShaderCache.cpp.o
[113/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/VertexLayout.cpp.o
[114/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCTextureAtlas.cpp.o
[115/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/Program.cpp.o
[116/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/RenderPassDescriptor.cpp.o
[117/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/DeviceInfoGL.cpp.o
[118/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/DeviceGL.cpp.o
[119/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/DepthStencilStateGL.cpp.o
[120/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/ProgramCache.cpp.o
[121/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/CCRenderer.cpp.o
[122/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCRef.cpp.o
[123/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/BufferGL.cpp.o
[124/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEvent.cpp.o
[125/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/ShaderModuleGL.cpp.o
[126/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventController.cpp.o
[127/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCData.cpp.o
[128/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/UtilsGL.cpp.o
[129/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/RenderPipelineGL.cpp.o
[130/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventFocus.cpp.o
[131/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventKeyboard.cpp.o
[132/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/TextureGL.cpp.o
[133/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/ProgramState.cpp.o
[134/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventCustom.cpp.o
[135/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCAsyncTaskPool.cpp.o
[136/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCAutoreleasePool.cpp.o
[137/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/CCFileUtils.cpp.o
[138/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/CommandBufferGL.cpp.o
[139/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerAcceleration.cpp.o
[140/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListener.cpp.o
[141/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventAcceleration.cpp.o
[142/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCController.cpp.o
[143/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerCustom.cpp.o
[144/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCNinePatchImageParser.cpp.o
[145/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/renderer/backend/opengl/ProgramGL.cpp.o
[146/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerFocus.cpp.o
[147/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCConfiguration.cpp.o
[148/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerController.cpp.o
[149/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerMouse.cpp.o
[150/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerTouch.cpp.o
[151/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventTouch.cpp.o
[152/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventListenerKeyboard.cpp.o
[153/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventMouse.cpp.o
[154/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCIMEDispatcher.cpp.o
[155/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCProfiling.cpp.o
[156/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUNoise.cpp.o
[157/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCDirector.cpp.o
[158/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUMaterialTranslator.cpp.o
[159/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScriptLexer.cpp.o
[160/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUForceField.cpp.o
[161/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUPlane.cpp.o
[162/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCNS.cpp.o
[163/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScriptParser.cpp.o
[164/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/CCParticleSystem3D.cpp.o
[165/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUDynamicAttribute.cpp.o
[166/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCEventDispatcher.cpp.o
[167/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUDynamicAttributeTranslator.cpp.o
[168/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUSimpleSpline.cpp.o
[169/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCProperties.cpp.o
[170/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScriptTranslator.cpp.o
[171/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUMaterialManager.cpp.o
[172/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUSphere.cpp.o
[173/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUUtil.cpp.o
[174/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUListener.cpp.o
[175/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUParticleSystem3DTranslator.cpp.o
[176/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUTechniqueTranslator.cpp.o
[177/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUAlignAffector.cpp.o
[178/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPURendererTranslator.cpp.o
[179/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUAlignAffectorTranslator.cpp.o
[180/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUAffectorManager.cpp.o
[181/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUTranslateManager.cpp.o
[182/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/base/CCConsole.cpp.o
[183/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBaseColliderTranslator.cpp.o
[184/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBaseCollider.cpp.o
[185/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUAffector.cpp.o
[186/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScriptCompiler.cpp.o
[187/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUAffectorTranslator.cpp.o
[188/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUColorAffector.cpp.o
[189/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBaseForceAffectorTranslator.cpp.o
[190/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUCollisionAvoidanceAffector.cpp.o
[191/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBaseForceAffector.cpp.o
[192/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBoxColliderTranslator.cpp.o
[193/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUBoxCollider.cpp.o
[194/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUParticleSystem3D.cpp.o
[195/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUFlockCenteringAffector.cpp.o
[196/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUColorAffectorTranslator.cpp.o
[197/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUGeometryRotator.cpp.o
[198/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUCollisionAvoidanceAffectorTranslator.cpp.o
[199/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUFlockCenteringAffectorTranslator.cpp.o
[200/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUForceFieldAffector.cpp.o
[201/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUForceFieldAffectorTranslator.cpp.o
[202/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUInterParticleColliderTranslator.cpp.o
[203/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUGravityAffector.cpp.o
[204/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUGeometryRotatorTranslator.cpp.o
[205/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUGravityAffectorTranslator.cpp.o
[206/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUInterParticleCollider.cpp.o
[207/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUJetAffector.cpp.o
[208/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPULineAffector.cpp.o
[209/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUJetAffectorTranslator.cpp.o
[210/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUParticleFollower.cpp.o
[211/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPULinearForceAffectorTranslator.cpp.o
[212/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPULinearForceAffector.cpp.o
[213/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUPathFollower.cpp.o
[214/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUParticleFollowerTranslator.cpp.o
[215/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPULineAffectorTranslator.cpp.o
[216/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUPathFollowerTranslator.cpp.o
[217/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUPlaneColliderTranslator.cpp.o
[218/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPURandomiser.cpp.o
[219/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScaleAffectorTranslator.cpp.o
[220/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScaleAffector.cpp.o
[221/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPURandomiserTranslator.cpp.o
[222/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScaleVelocityAffectorTranslator.cpp.o
[223/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUScaleVelocityAffector.cpp.o
[224/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUPlaneCollider.cpp.o
[225/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnCollisionObserver.cpp.o
[226/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnCountObserver.cpp.o
[227/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnEmissionObserver.cpp.o
[228/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnCollisionObserverTranslator.cpp.o
[229/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnClearObserver.cpp.o
[230/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/__/extensions/Particle3D/PU/CCPUOnClearObserverTranslator.cpp.o
